tau, beta, Energy Variance after Cyclic Protocol 
10.0,2.154434690031884,7.886047756543315e-05
10.0,2.25701971963392,0.00010511212304390175
10.0,2.3644894126454075,0.00014141418058619774
10.0,2.4770763559917106,0.00018679205917093142
10.0,2.595024211399736,0.0002465753024845525
10.0,2.718588242732941,0.0003398732917636342
10.0,2.8480358684358014,0.0004558114285236727
10.0,2.9836472402833394,0.0005775699151394225
10.0,3.1257158496882362,0.0007667225131226151
10.0,3.2745491628777286,0.0009811845062160437
10.0,3.4304692863149184,0.0012747358131943239
10.0,3.5938136638046276,0.0015690157816841731
10.0,3.7649358067924683,0.0019236595813368611
10.0,3.944206059437655,0.002416159902664944
10.0,4.132012400115337,0.0028471982558475177
10.0,4.328761281083058,0.003154226800257189
10.0,4.534878508128582,0.0039037379660366873
10.0,4.7508101621027965,0.005154822280514951
10.0,4.977023564332112,0.0058738299562414225
10.0,5.214008287999684,0.006466004723073702
10.0,5.462277217684341,0.007349535486615405
10.0,5.722367659350217,0.007667254788931601
10.0,5.99484250318941,0.00956980908170067
10.0,6.280291441834253,0.009644392355915576
10.0,6.579332246575681,0.009028751671340372
10.0,6.892612104349697,0.010611982153593673
10.0,7.220809018385464,0.012879898810834962
10.0,7.564633275546289,0.01217161356507121
10.0,7.924828983539173,0.014032267979457618
10.0,8.302175681319746,0.015323121265860877
10.0,8.697490026177835,0.016144611489256555
10.0,9.111627561154892,0.02006263549216572
10.0,9.54548456661834,0.022251831772973726
10.0,10.0,0.02456275321255707
100.0,0.1,1.6284870176217023e-17
100.0,0.10476157527896648,1.5126280276939512e-17
100.0,0.10974987654930562,1.2611945182302898e-17
100.0,0.11497569953977356,1.096220610230578e-17
100.0,0.12045035402587821,1.0011215716958144e-17
100.0,0.12618568830660204,9.028597424541913e-18
100.0,0.1321941148466029,9.964504107741455e-18
100.0,0.1384886371393873,1.178886089873283e-17
100.0,0.14508287784959398,1.562953906248589e-17
100.0,0.15199110829529336,2.1191014976831098e-17
100.0,0.1592282793341092,2.692896575645903e-17
100.0,0.16681005372000587,3.490426733595733e-17
100.0,0.17475284000076838,4.2482220402812565e-17
100.0,0.18307382802953684,4.7001250715635474e-17
100.0,0.19179102616724888,4.768861650469783e-17
100.0,0.20092330025650468,4.50808802270668e-17
100.0,0.21049041445120203,3.947693080065178e-17
100.0,0.22051307399030456,3.585860257947319e-17
100.0,0.23101297000831597,3.575690129197343e-17
100.0,0.24201282647943823,4.324689242018473e-17
100.0,0.2535364493970112,5.758342416476931e-17
